Export Parameters
Hansatech Instruments Ltd Handy PEA Data
PEA Plus Version: 1.13
Format:2a
Comment1:                                                                                                   
Comment2:                                                                                                   
Comment3:                                                                                                   
Comment4:                                                                                                   

Calculate PI using Fo=TRUE

Record No,P. Light,P. Dur.(sec),Light,Gain,Dur.(sec),Flash,Date,Time,ID,Scaled,Scale,Offset,Protocol,Dark Offset, ,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm,
123,0,0,1500,1.0,1.00,1,01/01/00,03:38:12,       , NO,-,-,0,0,,300.00,33121,392,1559,1167,477,556,844,1131,1351,0.2514,0.749,0.5275,2.977,0.6332,0.8218,0.6769,1.2911,28.3811,57.8632,0.0946,2.7236,0.6848,2.0388,0.7477,0.363,0.7486,0.3668,0.2745,0.4860,0.1334,392.0000,98.5657,293.4343,107.6177,52.3002,1559.00000,392.0000,1167.00000,428.0000,208.0000,0.3672,2.977,0.5792,0.633,0.9455,0.5985,-0.1986,-0.2229,0.0019,0.0006,44,221,1044,9736,823,8692,23340,
124,0,0,1500,1.0,1.00,1,01/01/00,03:38:25,       , NO,-,-,0,0,,700.00,45881,448,1760,1312,543,629,932,1237,1501,0.2545,0.745,0.5898,2.929,0.6014,0.8026,0.6555,1.2297,34.9705,71.5070,0.0500,2.7430,0.6982,2.0448,0.8151,0.404,0.7455,0.3986,0.2972,0.4952,0.1472,448.0000,114.0364,333.9636,133.1273,65.9273,1760.00000,448.0000,1312.00000,523.0000,259.0000,0.3646,2.929,0.6629,0.708,0.9811,0.6943,-0.1501,-0.1584,0.0017,0.0006,50,251,1240,11841,988,10602,33990,
125,0,0,1500,1.0,1.00,1,01/01/00,03:38:37,       , NO,-,-,0,0,,500.00,53859,413,2041,1628,486,551,831,1275,1671,0.2024,0.798,1.4405,3.942,0.5295,0.7727,0.3993,0.8559,33.0829,53.4751,0.0662,2.0265,0.4101,1.6164,0.7605,0.367,0.7976,0.4705,0.3753,0.4830,0.1813,413.0000,83.5713,329.4287,155.0015,74.8702,2041.00000,413.0000,1628.00000,766.0000,370.0000,0.4935,3.942,0.8886,1.729,0.9343,1.6151,0.2377,0.2082,0.0019,0.0005,63,345,1602,17136,1257,15534,36660,
126,0,0,1500,1.0,1.00,1,01/01/00,03:38:53,       , NO,-,-,0,0,,800.00,39647,454,1473,1019,516,578,786,1042,1256,0.3082,0.692,0.5039,2.244,0.5770,0.7870,0.6084,1.0860,38.9080,73.2283,0.0486,2.7206,0.8385,1.8821,0.7961,0.401,0.6918,0.4230,0.2926,0.5035,0.1473,454.0000,139.9294,314.0706,132.8405,66.8826,1473.00000,454.0000,1019.00000,431.0000,217.0000,0.3676,2.244,0.7330,0.605,1.0140,0.6132,-0.2184,-0.2124,0.0015,0.0007,39,202,1032,9373,830,8341,30235,
127,0,0,1500,1.0,1.00,1,01/01/00,03:39:49,       , NO,-,-,0,0,,700.00,50630,437,1782,1345,518,593,873,1205,1485,0.2452,0.755,0.7686,3.078,0.5710,0.7792,0.5576,1.0805,37.6432,71.2346,0.0538,2.5072,0.6148,1.8924,0.8118,0.418,0.7548,0.4290,0.3238,0.5147,0.1667,437.0000,107.1655,329.8345,141.4978,72.8333,1782.00000,437.0000,1345.00000,577.0000,297.0000,0.3989,3.078,0.7513,0.922,1.0607,0.9783,-0.0351,-0.0095,0.0017,0.0006,52,269,1367,13134,1098,11766,37445,
128,0,0,1500,1.0,1.00,1,01/01/00,03:40:04,       , NO,-,-,0,0,,700.00,57955,480,1956,1476,563,637,931,1300,1617,0.2454,0.755,0.8438,3.075,0.5556,0.7703,0.5014,1.0185,39.2647,71.9853,0.0561,2.4295,0.5962,1.8333,0.8148,0.421,0.7546,0.4444,0.3354,0.5168,0.1733,480.0000,117.7914,362.2086,160.9816,83.1902,1956.00000,480.0000,1476.00000,656.0000,339.0000,0.4116,3.075,0.8000,1.013,1.0694,1.0828,0.0054,0.0346,0.0016,0.0005,57,300,1547,15158,1247,13611,42740,
129,0,0,1500,1.0,1.00,1,01/01/00,03:43:49,       , NO,-,-,0,0,,600.00,46420,453,2089,1636,561,665,1032,1415,1783,0.2169,0.783,0.8231,3.611,0.5880,0.8130,0.6357,1.1797,28.3739,56.9248,0.0473,2.5618,0.5555,2.0062,0.8265,0.375,0.7831,0.4120,0.3226,0.4540,0.1465,453.0000,98.2331,354.7669,146.1570,66.3562,2089.00000,453.0000,1636.00000,674.0000,306.0000,0.3904,3.611,0.7006,0.988,0.8315,0.8213,-0.0054,-0.0855,0.0017,0.0005,62,318,1590,14542,1271,12953,31815,
130,0,0,1500,1.0,1.00,1,01/01/00,03:44:24,       , NO,-,-,0,0,,400.00,21310,422,1409,987,521,616,898,1124,1259,0.2995,0.700,0.2452,2.339,0.7112,0.8480,0.9625,1.6076,21.5907,48.7995,0.0540,3.2266,0.9664,2.2602,0.6526,0.343,0.7005,0.2888,0.2023,0.5263,0.1065,422.0000,126.3903,295.6097,85.3584,44.9255,1409.00000,422.0000,987.0000,285.0000,150.0000,0.3099,2.339,0.4060,0.294,1.1111,0.3270,-0.5312,-0.4855,0.0017,0.0007,37,168,738,6488,570,5750,14785,
131,0,0,1500,1.0,1.00,1,01/01/00,03:44:37,       , NO,-,-,0,0,,600.00,32309,470,1666,1196,567,663,968,1257,1461,0.2821,0.718,0.3751,2.545,0.6580,0.8286,0.8027,1.3880,27.0144,56.9809,0.0450,2.9382,0.8289,2.1093,0.7213,0.362,0.7179,0.3420,0.2455,0.5012,0.1230,470.0000,132.5930,337.4070,115.3842,57.8331,1666.00000,470.0000,1196.00000,409.0000,205.0000,0.3403,2.545,0.5197,0.450,1.0049,0.4523,-0.3467,-0.3446,0.0015,0.0006,45,219,1022,9104,803,8082,23160,
132,0,0,1500,1.0,1.00,1,01/01/00,03:46:26,       , NO,-,-,0,0,,800.00,61015,457,2012,1555,534,607,889,1293,1667,0.2271,0.773,1.0942,3.403,0.5376,0.7781,0.4695,0.9260,39.2379,67.5868,0.0490,2.2287,0.5062,1.7225,0.7964,0.382,0.7729,0.4624,0.3574,0.4798,0.1715,457.0000,103.8017,353.1983,163.3116,78.3623,2012.00000,457.0000,1555.00000,719.0000,345.0000,0.4487,3.403,0.8600,1.313,0.9225,1.2112,0.1183,0.0832,0.0017,0.0005,60,323,1697,15735,1374,14038,45220,
133,0,0,1500,1.0,1.00,1,01/01/00,03:47:04,       , NO,-,-,0,0,,800.00,62524,430,2137,1707,508,577,871,1313,1764,0.2012,0.799,1.4812,3.970,0.5173,0.7815,0.4042,0.8612,36.6281,60.9778,0.0458,2.0841,0.4194,1.6648,0.8036,0.364,0.7988,0.4827,0.3856,0.4527,0.1745,430.0000,86.5232,343.4768,165.8025,75.0538,2137.00000,430.0000,1707.00000,824.0000,373.0000,0.4798,3.970,0.9332,1.777,0.8271,1.4701,0.2498,0.1673,0.0019,0.0005,66,361,1937,17423,1576,15486,45035,
134,0,0,1500,1.0,1.00,1,01/01/00,03:47:23,       , NO,-,-,0,0,,700.00,31218,422,1463,1041,504,581,845,1112,1283,0.2884,0.712,0.3641,2.467,0.6628,0.8271,0.7397,1.3545,29.9885,61.2809,0.0428,2.8719,0.8284,2.0435,0.6890,0.353,0.7116,0.3372,0.2399,0.5128,0.1230,422.0000,121.7252,300.2748,101.2454,51.9207,1463.00000,422.0000,1041.00000,351.0000,180.0000,0.3482,2.467,0.5087,0.437,1.0526,0.4599,-0.3596,-0.3373,0.0017,0.0007,39,193,892,7749,699,6856,23430,
135,0,0,1500,1.0,1.00,1,01/01/00,03:47:50,       , NO,-,-,0,0,,1.20,0,423,1088,665,494,559,801,1134,1354,0.3888,0.611,-0.0292,1.572,1.0692,1.4000,0.9774,1.8947,0.0000,0.0000,0.0000,2.8994,1.1272,1.7722,-0.1226,-0.709,0.6112,-0.0692,-0.0423,5.7826,-0.2445,423.0000,164.4568,258.5432,-17.8842,-103.4173,1088.00000,423.0000,665.0000,-46.0000,-266.0000,0.3449,1.572,-0.0647,-0.035,-1.2091,0.0424,INF,-1.3725,0.0014,0.0009,25,108,0,0,0,0,0,
136,0,0,1500,1.0,1.00,1,01/01/00,03:48:30,       , NO,-,-,0,0,,700.00,60760,465,2099,1634,557,643,968,1349,1750,0.2215,0.778,1.0197,3.514,0.5410,0.7864,0.5263,1.0261,37.1846,70.5273,0.0531,2.4364,0.5398,1.8967,0.8706,0.405,0.7785,0.4590,0.3573,0.4653,0.1663,465.0000,103.0133,361.9867,166.1505,77.3154,2099.00000,465.0000,1634.00000,750.0000,349.0000,0.4104,3.514,0.8484,1.224,0.8703,1.0650,0.0877,0.0273,0.0017,0.0005,63,331,1735,16222,1404,14487,44475,
137,0,0,1500,1.0,1.00,1,01/01/00,03:48:51,       , NO,-,-,0,0,,700.00,38567,440,1644,1204,521,598,872,1183,1414,0.2676,0.732,0.5346,2.736,0.6171,0.8090,0.6395,1.1960,32.0328,62.0824,0.0458,2.6464,0.7083,1.9381,0.7421,0.370,0.7324,0.3829,0.2804,0.4989,0.1399,440.0000,117.7616,322.2384,123.3820,61.5572,1644.00000,440.0000,1204.00000,461.0000,230.0000,0.3779,2.736,0.6205,0.642,0.9957,0.6388,-0.1928,-0.1946,0.0017,0.0006,46,234,1135,10212,901,9077,28310,
138,0,0,1500,1.0,1.00,1,01/01/00,03:50:09,       , NO,-,-,0,0,,600.00,46589,494,2033,1539,597,692,1033,1392,1748,0.2430,0.757,0.7012,3.115,0.5835,0.8148,0.6173,1.1674,30.2725,60.5676,0.0505,2.6430,0.6422,2.0007,0.8333,0.371,0.7570,0.4165,0.3153,0.4446,0.1402,494.0000,120.0374,373.9626,155.7570,69.2523,2033.00000,494.0000,1539.00000,641.0000,285.0000,0.3784,3.115,0.7138,0.841,0.8006,0.6736,-0.0750,-0.1716,0.0015,0.0005,59,300,1514,13506,1214,11991,33025,
139,0,0,1500,1.0,1.00,1,01/01/00,03:50:26,       , NO,-,-,0,0,,600.00,58451,468,2151,1683,566,657,1003,1396,1795,0.2176,0.782,0.9927,3.596,0.5514,0.7885,0.5407,1.0596,34.7305,66.7415,0.0579,2.4561,0.5344,1.9217,0.8621,0.406,0.7824,0.4486,0.3510,0.4715,0.1655,468.0000,101.8243,366.1757,164.2678,77.4561,2151.00000,468.0000,1683.00000,755.0000,356.0000,0.4072,3.596,0.8136,1.191,0.8922,1.0629,0.0760,0.0265,0.0017,0.0005,64,338,1750,16542,1411,14793,41845,
140,0,0,1500,1.0,1.00,1,01/01/00,03:50:39,       , NO,-,-,0,0,,700.00,61609,491,2422,1931,591,681,1037,1492,2042,0.2027,0.797,1.3352,3.933,0.5184,0.8032,0.4661,0.9425,31.9055,58.0100,0.0456,2.2805,0.4623,1.8182,0.8757,0.358,0.7973,0.4816,0.3840,0.4086,0.1569,491.0000,99.5380,391.4620,188.5343,77.0355,2422.00000,491.0000,1931.00000,930.0000,380.0000,0.4385,3.933,0.9291,1.602,0.6909,1.1070,0.2047,0.0441,0.0016,0.0004,74,399,1967,18565,1568,16598,42970,
141,0,0,1500,1.0,1.00,1,01/01/00,03:52:11,       , NO,-,-,0,0,,600.00,53912,464,1993,1529,554,638,960,1346,1675,0.2328,0.767,0.8244,3.295,0.5768,0.7920,0.5494,1.0813,35.2597,66.0953,0.0588,2.4434,0.5689,1.8745,0.7932,0.390,0.7672,0.4232,0.3246,0.4915,0.1596,464.0000,108.0261,355.9739,150.6312,74.0351,1993.00000,464.0000,1529.00000,647.0000,318.0000,0.4093,3.295,0.7336,0.989,0.9666,0.9562,-0.0047,-0.0194,0.0017,0.0005,59,306,1542,14674,1236,13131,39180,
142,0,0,1500,1.0,1.00,1,01/01/00,03:52:28,       , NO,-,-,0,0,,1.10,0,57,56,-1,57,56,57,55,55,1.0179,-0.018,INF,-0.018,2.0000,2.0000,10.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.000,-0.0179,-1.0000,0.0179,1.0000,0.0179,57.0000,58.0179,-1.0179,1.0179,1.0179,56.0000,57.0000,-1.0000,1.0000,1.0000,INF,-0.018,-0.5000,INF,INF,INF,INF,INF,-0.0003,0.0179,0,0,0,0,0,0,0,
143,0,0,1500,1.0,1.00,1,01/01/00,03:52:41,       , NO,-,-,0,0,,1.20,14,453,1220,767,544,630,933,1241,1493,0.3713,0.629,-0.0116,1.693,1.0274,1.3559,1.1213,2.0860,0.0185,0.0377,0.0155,3.2297,1.1992,2.0305,-0.0556,-0.723,0.6287,-0.0274,-0.0172,13.0000,-0.2238,453.0000,168.2041,284.7959,-7.7975,-101.3680,1220.00000,453.0000,767.0000,-21.0000,-273.0000,0.3096,1.693,-0.0266,-0.014,-1.0833,0.0151,INF,-1.8200,0.0014,0.0008,28,116,0,0,0,0,0,
144,0,0,1500,1.0,1.00,1,01/01/00,03:53:12,       , NO,-,-,0,0,,1.20,58,515,1287,772,592,664,944,1323,1659,0.4002,0.600,-0.0189,1.499,1.0466,1.4819,0.9326,1.8523,0.0754,0.1335,0.0629,2.9504,1.1806,1.7698,-0.0825,-0.853,0.5998,-0.0466,-0.0280,10.3333,-0.2890,515.0000,206.0800,308.9200,-14.4056,-148.8578,1287.00000,515.0000,772.0000,-36.0000,-372.0000,0.3389,1.499,-0.0446,-0.023,-1.1071,0.0251,INF,-1.6010,0.0012,0.0008,29,128,10,0,0,0,0,
145,0,0,1500,1.0,1.00,1,01/01/00,03:53:23,       , NO,-,-,0,0,,700.00,66978,475,2274,1799,548,617,923,1397,1866,0.2089,0.791,1.4664,3.787,0.5125,0.7732,0.3835,0.8301,37.2308,60.3016,0.0532,2.0473,0.4276,1.6197,0.7896,0.367,0.7911,0.4875,0.3857,0.4652,0.1794,475.0000,99.2194,375.7806,183.1904,85.2243,2274.00000,475.0000,1799.00000,877.0000,408.0000,0.4884,3.787,0.9512,1.760,0.8699,1.5308,0.2454,0.1849,0.0017,0.0004,70,384,1854,18514,1470,16660,48395,
146,0,0,1500,1.0,1.00,1,01/01/00,03:53:47,       , NO,-,-,0,0,,1.20,2,601,1154,553,640,677,836,1213,1452,0.5208,0.479,-0.0277,0.920,1.1067,1.5389,0.6691,1.4165,0.0030,0.0038,0.0025,2.6710,1.3911,1.2800,-0.1366,-0.690,0.4792,-0.1067,-0.0511,5.0508,-0.2582,601.0000,312.9991,288.0009,-30.7270,-155.1976,1154.00000,601.0000,553.0000,-59.0000,-298.0000,0.3744,0.920,-0.0964,-0.033,-1.2469,0.0414,INF,-1.3829,0.0008,0.0009,21,104,0,0,0,0,0,
147,0,0,1500,1.0,1.00,1,01/01/00,03:55:11,       , NO,-,-,0,0,,900.00,71921,459,1992,1533,507,550,740,1184,1581,0.2304,0.770,1.8477,3.340,0.4729,0.7319,0.2805,0.6110,46.9153,60.6124,0.0521,1.6788,0.3868,1.2920,0.6810,0.346,0.7696,0.5271,0.4056,0.5087,0.2063,459.0000,105.7636,353.2364,186.1807,94.7033,1992.00000,459.0000,1533.00000,808.0000,411.0000,0.5957,3.340,1.1145,2.217,1.0353,2.2954,0.3458,0.3609,0.0017,0.0005,60,342,1932,17771,1590,15839,54090,
148,0,0,1500,1.0,1.00,1,01/01/00,03:55:38,       , NO,-,-,0,0,,700.00,68467,446,2267,1821,517,579,864,1377,1838,0.1967,0.803,1.7458,4.083,0.5113,0.7644,0.3405,0.7651,37.5983,56.2696,0.0537,1.8631,0.3665,1.4966,0.7315,0.353,0.8033,0.4887,0.3926,0.4820,0.1892,446.0000,87.7442,358.2558,175.0948,84.3996,2267.00000,446.0000,1821.00000,890.0000,429.0000,0.5367,4.083,0.9560,2.095,0.9306,1.9495,0.3212,0.2899,0.0018,0.0004,71,394,2128,19621,1733,17493,48775,
149,0,0,1500,1.0,1.00,1,01/01/00,03:55:55,       , NO,-,-,0,0,,700.00,46174,465,1913,1448,553,635,941,1308,1621,0.2431,0.757,0.7490,3.114,0.5822,0.7983,0.5663,1.0958,31.8881,60.0186,0.0456,2.4866,0.6044,1.8822,0.7864,0.380,0.7569,0.4178,0.3163,0.4826,0.1526,465.0000,113.0293,351.9707,147.0596,70.9775,1913.00000,465.0000,1448.00000,605.0000,292.0000,0.4022,3.114,0.7177,0.899,0.9329,0.8385,-0.0464,-0.0765,0.0016,0.0005,55,288,1458,12953,1170,11495,33165,
150,0,0,1500,1.0,1.00,1,01/01/00,03:56:26,       , NO,-,-,0,0,,700.00,59265,536,2168,1632,613,678,953,1361,1803,0.2472,0.753,1.1089,3.045,0.5055,0.7763,0.3983,0.8517,36.3143,61.1841,0.0519,2.2382,0.5534,1.6848,0.8331,0.377,0.7528,0.4945,0.3722,0.4523,0.1684,536.0000,132.5166,403.4834,199.5166,90.2399,2168.00000,536.0000,1632.00000,807.0000,365.0000,0.4468,3.045,0.9782,1.331,0.8258,1.0989,0.1241,0.0409,0.0014,0.0005,63,345,1876,16707,1532,14830,42495,
151,0,0,1500,1.0,1.00,1,01/01/00,03:56:45,       , NO,-,-,0,0,,600.00,40985,498,2003,1505,605,706,1053,1368,1712,0.2486,0.751,0.6495,3.022,0.5781,0.8066,0.6711,1.2292,27.2326,57.9085,0.0454,2.8301,0.7036,2.1264,0.8972,0.411,0.7514,0.4219,0.3170,0.4583,0.1453,498.0000,123.8163,374.1837,157.8782,72.3505,2003.00000,498.0000,1505.00000,635.0000,291.0000,0.3533,3.022,0.7299,0.779,0.8459,0.6593,-0.1082,-0.1809,0.0015,0.0005,57,288,1458,13228,1171,11770,27700,
152,0,0,1500,1.0,1.00,1,01/01/00,03:57:12,       , NO,-,-,0,0,,700.00,56482,490,1974,1484,557,622,879,1291,1620,0.2482,0.752,0.9994,3.029,0.5398,0.7615,0.4380,0.8738,38.0609,61.6134,0.0544,2.1533,0.5345,1.6188,0.7450,0.386,0.7518,0.4602,0.3460,0.5183,0.1793,490.0000,121.6312,368.3688,169.5390,87.8723,1974.00000,490.0000,1484.00000,683.0000,354.0000,0.4644,3.029,0.8527,1.199,1.0760,1.2904,0.0789,0.1107,0.0015,0.0005,57,313,1438,15190,1125,13753,41235,
153,0,0,1500,1.0,1.00,1,01/01/00,03:57:35,       , NO,-,-,0,0,,900.00,53610,507,1811,1304,553,603,794,1173,1469,0.2800,0.720,1.0292,2.572,0.5107,0.7377,0.3834,0.7336,41.1122,59.0550,0.0457,1.9949,0.5585,1.4364,0.7028,0.377,0.7200,0.4893,0.3523,0.5361,0.1888,507.0000,141.9376,365.0624,178.6118,95.7449,1811.00000,507.0000,1304.00000,638.0000,342.0000,0.5013,2.572,0.9580,1.235,1.1554,1.4270,0.0917,0.1544,0.0014,0.0006,51,283,1542,13915,1259,12372,39645,
154,0,0,1500,1.0,1.00,1,01/01/00,03:57:47,       , NO,-,-,0,0,,700.00,35602,554,1741,1187,610,674,897,1214,1444,0.3182,0.682,0.5611,2.143,0.5560,0.7498,0.5392,0.9632,29.9929,51.9573,0.0428,2.5408,0.8085,1.7323,0.7691,0.433,0.6818,0.4440,0.3027,0.5636,0.1706,554.0000,176.2872,377.7128,167.6956,94.5078,1741.00000,554.0000,1187.00000,527.0000,297.0000,0.3936,2.143,0.7985,0.673,1.2913,0.8695,-0.1718,-0.0607,0.0012,0.0006,46,245,1267,11326,1022,10059,24230,
155,0,0,1500,1.0,1.00,1,01/01/00,03:58:02,       , NO,-,-,0,0,,900.00,37702,1112,2015,903,1160,1208,1369,1585,1802,0.5519,0.448,0.1522,0.812,0.5238,0.7641,0.5316,0.9487,41.7517,75.6179,0.0464,4.0415,2.2303,1.8111,0.8624,0.427,0.4481,0.4762,0.2134,0.4953,0.1057,1112.00000,613.6695,498.3305,237.3002,117.5464,2015.00000,1112.00000,903.0000,430.0000,213.0000,0.2474,0.812,0.9091,0.183,0.9816,0.1793,-0.7383,-0.7464,0.0004,0.0005,35,186,1016,8662,831,7646,29005,
156,0,0,1500,1.0,1.00,1,01/01/00,03:59:10,       , NO,-,-,0,0,,700.00,53396,452,2195,1743,541,622,950,1364,1823,0.2059,0.794,1.2774,3.856,0.5232,0.7866,0.4647,0.9524,30.6343,55.7599,0.0438,2.2922,0.4720,1.8202,0.8678,0.388,0.7941,0.4768,0.3786,0.4477,0.1695,452.0000,93.0770,358.9230,171.1216,76.6032,2195.00000,452.0000,1743.00000,831.0000,372.0000,0.4363,3.856,0.9112,1.533,0.8105,1.2424,0.1855,0.0942,0.0018,0.0005,67,360,1912,17059,1551,15147,36270,
157,0,0,1500,1.0,1.00,1,01/01/00,03:59:21,       , NO,-,-,0,0,,700.00,61105,470,2210,1740,547,615,905,1354,1815,0.2127,0.787,1.4339,3.702,0.5080,0.7730,0.3908,0.8333,35.1176,57.6025,0.0502,2.0833,0.4431,1.6403,0.8069,0.372,0.7873,0.4920,0.3873,0.4614,0.1787,470.0000,99.9548,370.0452,182.0452,84.0045,2210.00000,470.0000,1740.00000,856.0000,395.0000,0.4800,3.702,0.9683,1.721,0.8568,1.4744,0.2357,0.1686,0.0017,0.0005,67,370,1998,18027,1628,16030,43010,
158,0,0,1500,1.0,1.00,1,01/01/00,03:59:39,       , NO,-,-,0,0,,700.00,64423,463,2351,1888,539,608,910,1400,1927,0.1969,0.803,1.7417,4.078,0.4963,0.7754,0.3655,0.7892,34.1226,54.2611,0.0487,1.9801,0.3900,1.5902,0.8010,0.357,0.8031,0.5037,0.4045,0.4458,0.1803,463.0000,91.1821,371.8179,187.2875,83.5015,2351.00000,463.0000,1888.00000,951.0000,424.0000,0.5050,4.078,1.0149,2.090,0.8046,1.6816,0.3202,0.2257,0.0017,0.0004,73,406,2218,19780,1812,17562,44570,
159,0,0,1500,1.0,1.00,1,01/01/00,04:01:02,       , NO,-,-,0,0,,800.00,61536,451,2026,1575,502,547,757,1233,1626,0.2226,0.777,1.7589,3.492,0.4965,0.7460,0.2857,0.6476,39.0704,50.9614,0.0488,1.6778,0.3735,1.3043,0.6567,0.331,0.7774,0.5035,0.3914,0.5044,0.1974,451.0000,100.3954,350.6046,176.5267,89.0424,2026.00000,451.0000,1575.00000,793.0000,400.0000,0.5960,3.492,1.0141,2.111,1.0178,2.1483,0.3244,0.3321,0.0017,0.0005,62,350,1921,17614,1571,15693,43860,
160,0,0,1500,1.0,1.00,1,01/01/00,04:01:12,       , NO,-,-,0,0,,700.00,65333,465,2070,1605,516,557,761,1213,1655,0.2246,0.775,1.9371,3.452,0.4660,0.7414,0.2555,0.6147,40.7060,53.6941,0.0582,1.7012,0.3822,1.3191,0.7043,0.341,0.7754,0.5340,0.4140,0.4842,0.2005,465.0000,104.4565,360.5435,192.5145,93.2246,2070.00000,465.0000,1605.00000,857.0000,415.0000,0.5878,3.452,1.1457,2.325,0.9389,2.1825,0.3663,0.3390,0.0017,0.0005,63,358,2030,18420,1671,16391,46850,
161,0,0,1500,1.0,1.00,1,01/01/00,04:01:24,       , NO,-,-,0,0,,800.00,67035,513,2131,1618,565,613,820,1259,1697,0.2407,0.759,1.7005,3.154,0.4611,0.7318,0.2967,0.6325,41.4310,56.8334,0.0518,1.8067,0.4349,1.3718,0.7393,0.368,0.7593,0.5389,0.4092,0.4977,0.2037,513.0000,123.4955,389.5045,209.9183,104.4777,2131.00000,513.0000,1618.00000,872.0000,434.0000,0.5535,3.154,1.1689,2.041,0.9909,2.0220,0.3098,0.3058,0.0015,0.0005,63,360,2042,18897,1683,16855,48075,
162,0,0,1500,1.0,1.00,1,01/01/00,04:01:48,       , NO,-,-,0,0,,800.00,54740,496,1965,1469,553,606,838,1270,1616,0.2524,0.748,1.1249,2.962,0.5269,0.7624,0.3608,0.7760,37.2633,54.8839,0.0466,1.9702,0.4973,1.4729,0.6968,0.350,0.7476,0.4731,0.3537,0.5022,0.1776,496.0000,125.1990,370.8010,175.4300,88.0936,1965.00000,496.0000,1469.00000,695.0000,349.0000,0.5076,2.962,0.8979,1.350,1.0087,1.3615,0.1303,0.1340,0.0015,0.0005,57,318,1691,15228,1373,13537,39455,
163,0,0,1500,1.0,1.00,1,01/01/00,04:02:05,       , NO,-,-,0,0,,700.00,56015,452,1930,1478,520,583,847,1257,1586,0.2342,0.766,1.0666,3.270,0.5447,0.7673,0.4263,0.8908,37.8989,61.9878,0.0541,2.1358,0.5002,1.6356,0.7448,0.381,0.7658,0.4553,0.3487,0.5111,0.1782,452.0000,105.8570,346.1430,157.6145,80.5637,1930.00000,452.0000,1478.00000,673.0000,344.0000,0.4682,3.270,0.8360,1.280,1.0456,1.3383,0.1072,0.1266,0.0017,0.0005,57,311,1616,15072,1305,13457,40885,
164,0,0,1500,1.0,1.00,1,01/01/00,04:04:08,       , NO,-,-,0,0,,800.00,60155,486,2106,1620,542,594,820,1249,1691,0.2308,0.769,1.6448,3.333,0.4710,0.7438,0.3210,0.6872,37.1330,54.1827,0.0464,1.8969,0.4377,1.4592,0.7719,0.374,0.7692,0.5290,0.4069,0.4842,0.1971,486.0000,112.1538,373.8462,197.7692,95.7692,2106.00000,486.0000,1620.00000,857.0000,415.0000,0.5272,3.333,1.1232,1.974,0.9389,1.8532,0.2953,0.2679,0.0016,0.0005,63,356,1994,18242,1638,16249,41850,
165,0,0,1500,1.0,1.00,1,01/01/00,04:08:43,       , NO,-,-,0,0,,800.00,54733,453,1924,1471,513,567,803,1237,1569,0.2354,0.765,1.2183,3.247,0.5330,0.7587,0.3671,0.7931,37.2079,55.3688,0.0465,1.9464,0.4583,1.4881,0.6950,0.359,0.7646,0.4670,0.3571,0.5167,0.1845,453.0000,106.6575,346.3425,161.7521,83.5837,1924.00000,453.0000,1471.00000,687.0000,355.0000,0.5138,3.247,0.8763,1.462,1.0693,1.5632,0.1649,0.1940,0.0017,0.0005,57,317,1674,15131,1357,13456,39545,
166,0,0,1500,1.0,1.00,1,01/01/00,04:09:07,       , NO,-,-,0,0,,700.00,45680,449,1891,1442,534,613,928,1290,1593,0.2374,0.763,0.7682,3.212,0.5832,0.7933,0.5479,1.1073,31.6779,60.1416,0.0453,2.4897,0.5912,1.8985,0.7913,0.392,0.7626,0.4168,0.3178,0.4958,0.1576,449.0000,106.6108,342.3892,142.7017,70.7573,1891.00000,449.0000,1442.00000,601.0000,298.0000,0.4017,3.212,0.7146,0.922,0.9835,0.9066,-0.0353,-0.0426,0.0017,0.0005,55,288,1437,13029,1150,11592,32595,
167,0,0,1500,1.0,1.00,1,01/01/00,04:09:17,       , NO,-,-,0,0,,800.00,54708,439,1824,1385,501,558,793,1204,1499,0.2407,0.759,1.0489,3.155,0.5523,0.7653,0.4116,0.8520,39.5006,60.9291,0.0494,2.0314,0.4889,1.5425,0.6905,0.362,0.7593,0.4477,0.3399,0.5242,0.1782,439.0000,105.6584,333.3416,149.2215,78.2209,1824.00000,439.0000,1385.00000,620.0000,325.0000,0.4923,3.155,0.8105,1.259,1.1017,1.3867,0.0999,0.1420,0.0017,0.0005,54,294,1529,13835,1235,12305,40820,
